codice_contenitore;tipo_contenitore;numero_scatole_nel_bancale
BOX_00144;cassone metallico;0
BOX_00145;bancale in polistirolo;1
BOX_00146;bancale in polistirolo;8
BOX_00147;cassone metallico;0
BOX_00148;cassone metallico;0
BOX_00149;bancale in polistirolo;1
BOX_00150;bancale in polistirolo;8
BOX_00151;cassone metallico;0
BOX_00152;bancale in polistirolo;8
BOX_00153;bancale in polistirolo;8
BOX_00154;bancale in polistirolo;1
BOX_00155;bancale in polistirolo;3
BOX_00156;bancale in polistirolo;8
BOX_00157;cassone metallico;0
BOX_00158;bancale in polistirolo;8
BOX_00159;cassone metallico;0
BOX_00160;bancale in polistirolo;8
BOX_00161;bancale in polistirolo;6
BOX_00162;bancale in polistirolo;8
BOX_00163;cassone metallico;0
BOX_00164;bancale in polistirolo;8
BOX_00165;bancale in polistirolo;8
BOX_00166;cassone metallico;0
BOX_00167;bancale in polistirolo;8
BOX_00168;cassone metallico;0
BOX_00169;bancale in polistirolo;8
BOX_00170;bancale in polistirolo;4
BOX_00171;cassone metallico;0
BOX_00172;bancale in polistirolo;7
BOX_00173;bancale in polistirolo;4
BOX_00174;cassone metallico;0
BOX_00175;cassone metallico;0
BOX_00176;cassone metallico;0
BOX_00177;cassone metallico;0
BOX_00178;cassone metallico;0
BOX_00179;cassone metallico;0
BOX_00180;bancale in polistirolo;8
BOX_00181;bancale in polistirolo;8
BOX_00182;cassone metallico;0
BOX_00183;cassone metallico;0
BOX_00184;bancale in polistirolo;4
BOX_00185;cassone metallico;0
BOX_00186;bancale in polistirolo;8
BOX_00187;cassone metallico;0
BOX_00188;bancale in polistirolo;8
BOX_00189;bancale in polistirolo;8
BOX_00190;cassone metallico;0
BOX_00191;bancale in polistirolo;8
BOX_00192;cassone metallico;0
BOX_00193;bancale in polistirolo;8
BOX_00194;bancale in polistirolo;4
BOX_00195;cassone metallico;0
BOX_00196;cassone metallico;0
BOX_00197;bancale in polistirolo;8
BOX_00198;cassone metallico;0
BOX_00199;cassone metallico;0
BOX_00200;bancale in polistirolo;7
BOX_00201;bancale in polistirolo;8
BOX_00202;cassone metallico;0
BOX_00203;bancale in polistirolo;8
BOX_00204;cassone metallico;0
BOX_00205;cassone metallico;0
BOX_00206;bancale in polistirolo;8
BOX_00207;bancale in polistirolo;6
BOX_00208;bancale in polistirolo;8
BOX_00209;bancale in polistirolo;4
BOX_00210;cassone metallico;0
BOX_00211;bancale in polistirolo;7
BOX_00212;bancale in polistirolo;8
BOX_00213;cassone metallico;0
BOX_00214;bancale in polistirolo;8
BOX_00215;cassone metallico;0
BOX_00216;bancale in polistirolo;8
BOX_00217;bancale in polistirolo;8
BOX_00218;cassone metallico;0
BOX_00219;bancale in polistirolo;6
BOX_00220;bancale in polistirolo;8
BOX_00221;cassone metallico;0
BOX_00222;bancale in polistirolo;8
BOX_00223;cassone metallico;0
BOX_00224;bancale in polistirolo;8
BOX_00225;bancale in polistirolo;8
BOX_00226;cassone metallico;0
BOX_00227;bancale in polistirolo;8
BOX_00228;bancale in polistirolo;8
BOX_00229;bancale in polistirolo;4
BOX_00230;bancale in polistirolo;8
BOX_00231;cassone metallico;0
BOX_00232;cassone metallico;0
BOX_00233;cassone metallico;0
BOX_00234;cassone metallico;0
BOX_00235;bancale in polistirolo;7
BOX_00236;cassone metallico;0
BOX_00237;cassone metallico;0
BOX_00238;cassone metallico;0
BOX_00239;cassone metallico;0
BOX_00240;cassone metallico;0
BOX_00241;bancale in polistirolo;8
BOX_00242;bancale in polistirolo;3
BOX_00243;cassone metallico;0
BOX_00244;bancale in polistirolo;1
BOX_00245;bancale in polistirolo;8
BOX_00246;cassone metallico;0
BOX_00247;bancale in polistirolo;8
BOX_00248;cassone metallico;0
BOX_00249;bancale in polistirolo;2
BOX_00250;cassone metallico;0
BOX_00251;cassone metallico;0
BOX_00252;bancale in polistirolo;8
BOX_00253;bancale in polistirolo;8
BOX_00254;cassone metallico;0
BOX_00255;cassone metallico;0
BOX_00256;bancale in polistirolo;6
BOX_00257;cassone metallico;0
BOX_00258;cassone metallico;0
BOX_00259;bancale in polistirolo;8
BOX_00260;cassone metallico;0
BOX_00261;cassone metallico;0
BOX_00262;cassone metallico;0
BOX_00263;cassone metallico;0
BOX_00264;cassone metallico;0
BOX_00265;bancale in polistirolo;8
BOX_00266;bancale in polistirolo;8
BOX_00267;bancale in polistirolo;8
BOX_00268;cassone metallico;0
BOX_00269;bancale in polistirolo;8
BOX_00270;bancale in polistirolo;5
BOX_00271;bancale in polistirolo;8
BOX_00272;cassone metallico;0
BOX_00273;cassone metallico;0
BOX_00274;bancale in polistirolo;7
BOX_00275;bancale in polistirolo;8
BOX_00276;bancale in polistirolo;6
BOX_00277;bancale in polistirolo;8
BOX_00278;cassone metallico;0
BOX_00279;bancale in polistirolo;3
BOX_00280;cassone metallico;0
BOX_00281;cassone metallico;0
BOX_00282;bancale in polistirolo;1
BOX_00283;cassone metallico;0
BOX_00284;cassone metallico;0
BOX_00285;bancale in polistirolo;8
BOX_00286;bancale in polistirolo;6
BOX_00287;bancale in polistirolo;2
BOX_00288;cassone metallico;0
BOX_00289;cassone metallico;0
BOX_00290;cassone metallico;0
BOX_00291;cassone metallico;0
BOX_00292;cassone metallico;0
BOX_00293;cassone metallico;0
BOX_00294;cassone metallico;0
BOX_00295;cassone metallico;0
BOX_00296;cassone metallico;0
BOX_00297;bancale in polistirolo;8
BOX_00298;cassone metallico;0
BOX_00299;cassone metallico;0
BOX_00300;bancale in polistirolo;1
BOX_00301;bancale in polistirolo;8
BOX_00302;cassone metallico;0
BOX_00303;bancale in polistirolo;6
BOX_00304;bancale in polistirolo;8
BOX_00305;cassone metallico;0
BOX_00306;bancale in polistirolo;8
BOX_00307;bancale in polistirolo;8
BOX_00308;cassone metallico;0
BOX_00309;bancale in polistirolo;8
BOX_00310;bancale in polistirolo;8
BOX_00311;bancale in polistirolo;5
BOX_00312;cassone metallico;0
BOX_00313;bancale in polistirolo;1
BOX_00314;cassone metallico;0
BOX_00315;bancale in polistirolo;1
BOX_00316;cassone metallico;0
BOX_00317;bancale in polistirolo;8
BOX_00318;bancale in polistirolo;8
BOX_00319;bancale in polistirolo;8
BOX_00320;bancale in polistirolo;8
BOX_00321;bancale in polistirolo;8
BOX_00322;bancale in polistirolo;8
BOX_00323;cassone metallico;0
BOX_00324;cassone metallico;0
BOX_00325;bancale in polistirolo;5
BOX_00326;bancale in polistirolo;8
BOX_00327;bancale in polistirolo;3
BOX_00328;cassone metallico;0
BOX_00329;cassone metallico;0
BOX_00330;bancale in polistirolo;8
BOX_00331;bancale in polistirolo;6
BOX_00332;cassone metallico;0
BOX_00333;cassone metallico;0
BOX_00334;cassone metallico;0
BOX_00335;cassone metallico;0
BOX_00336;cassone metallico;0
BOX_00337;bancale in polistirolo;7
BOX_00338;bancale in polistirolo;8
BOX_00339;cassone metallico;0
BOX_00340;cassone metallico;0
BOX_00341;bancale in polistirolo;4
BOX_00342;cassone metallico;0
BOX_00343;cassone metallico;0
BOX_00344;bancale in polistirolo;8
BOX_00345;bancale in polistirolo;8
BOX_00346;cassone metallico;0
BOX_00347;bancale in polistirolo;8
BOX_00348;bancale in polistirolo;8
BOX_00349;cassone metallico;0
BOX_00350;cassone metallico;0
BOX_00351;bancale in polistirolo;8
BOX_00352;bancale in polistirolo;8
BOX_00353;bancale in polistirolo;8
BOX_00354;cassone metallico;0
BOX_00355;cassone metallico;0
BOX_00356;cassone metallico;0
BOX_00357;bancale in polistirolo;8
BOX_00358;bancale in polistirolo;8
BOX_00359;cassone metallico;0
BOX_00360;bancale in polistirolo;8
BOX_00361;bancale in polistirolo;6
BOX_00362;bancale in polistirolo;8
BOX_00363;bancale in polistirolo;8
BOX_00364;bancale in polistirolo;8
BOX_00365;bancale in polistirolo;2
BOX_00366;bancale in polistirolo;8
BOX_00367;cassone metallico;0
BOX_00368;cassone metallico;0
BOX_00369;cassone metallico;0
BOX_00370;bancale in polistirolo;3
BOX_00371;bancale in polistirolo;8
BOX_00372;cassone metallico;0
BOX_00373;cassone metallico;0
BOX_00374;bancale in polistirolo;7
BOX_00375;cassone metallico;0
BOX_00376;cassone metallico;0
BOX_00377;bancale in polistirolo;8
BOX_00378;bancale in polistirolo;8
BOX_00379;cassone metallico;0
BOX_00380;cassone metallico;0
BOX_00381;cassone metallico;0
BOX_00382;cassone metallico;0
BOX_00383;cassone metallico;0
BOX_00384;cassone metallico;0
BOX_00385;bancale in polistirolo;7
BOX_00386;cassone metallico;0
BOX_00387;cassone metallico;0
BOX_00388;bancale in polistirolo;8
BOX_00389;cassone metallico;0
BOX_00390;cassone metallico;0
BOX_00391;bancale in polistirolo;8
BOX_00392;bancale in polistirolo;8
BOX_00393;cassone metallico;0
BOX_00394;bancale in polistirolo;6
BOX_00395;bancale in polistirolo;8
BOX_00396;cassone metallico;0
BOX_00397;bancale in polistirolo;8
BOX_00398;cassone metallico;0
BOX_00399;bancale in polistirolo;8
BOX_00400;cassone metallico;0
BOX_00401;cassone metallico;0
BOX_00402;cassone metallico;0
BOX_00403;bancale in polistirolo;8
BOX_00404;bancale in polistirolo;8
BOX_00405;cassone metallico;0
BOX_00406;cassone metallico;0
BOX_00407;bancale in polistirolo;1
BOX_00408;cassone metallico;0
BOX_00409;bancale in polistirolo;7
BOX_00410;cassone metallico;0
BOX_00411;bancale in polistirolo;7
BOX_00412;bancale in polistirolo;8
BOX_00413;bancale in polistirolo;4
BOX_00414;bancale in polistirolo;8
BOX_00415;cassone metallico;0
BOX_00416;cassone metallico;0
BOX_00417;bancale in polistirolo;1
BOX_00418;bancale in polistirolo;8
BOX_00419;cassone metallico;0
BOX_00420;bancale in polistirolo;8
BOX_00421;bancale in polistirolo;8
BOX_00422;cassone metallico;0
BOX_00423;bancale in polistirolo;8
BOX_00424;bancale in polistirolo;4
BOX_00425;cassone metallico;0
BOX_00426;cassone metallico;0
BOX_00427;cassone metallico;0
BOX_00428;cassone metallico;0
BOX_00429;bancale in polistirolo;8
BOX_00430;bancale in polistirolo;8
BOX_00431;bancale in polistirolo;8
BOX_00432;bancale in polistirolo;8
BOX_00433;cassone metallico;0
BOX_00434;cassone metallico;0
BOX_00435;bancale in polistirolo;7
BOX_00436;cassone metallico;0
BOX_00437;bancale in polistirolo;1
BOX_00438;cassone metallico;0
BOX_00439;cassone metallico;0
BOX_00440;cassone metallico;0
BOX_00441;bancale in polistirolo;3
BOX_00442;cassone metallico;0
BOX_00443;cassone metallico;0
BOX_00444;bancale in polistirolo;8
BOX_00445;cassone metallico;0
BOX_00446;cassone metallico;0
BOX_00447;bancale in polistirolo;8
BOX_00448;cassone metallico;0
BOX_00449;bancale in polistirolo;8
BOX_00450;bancale in polistirolo;8
BOX_00451;cassone metallico;0
BOX_00452;bancale in polistirolo;8
BOX_00453;bancale in polistirolo;6
BOX_00454;bancale in polistirolo;8
BOX_00455;bancale in polistirolo;8
BOX_00456;cassone metallico;0
BOX_00457;bancale in polistirolo;8
BOX_00458;cassone metallico;0
BOX_00459;bancale in polistirolo;1
BOX_00460;cassone metallico;0
BOX_00461;bancale in polistirolo;1
BOX_00462;cassone metallico;0
BOX_00463;bancale in polistirolo;1
BOX_00464;bancale in polistirolo;8
BOX_00465;bancale in polistirolo;8
BOX_00466;bancale in polistirolo;4
BOX_00467;cassone metallico;0
BOX_00468;cassone metallico;0
BOX_00469;bancale in polistirolo;8
BOX_00470;cassone metallico;0
BOX_00471;bancale in polistirolo;8
BOX_00472;bancale in polistirolo;6
BOX_00473;cassone metallico;0
BOX_00474;bancale in polistirolo;1
BOX_00475;cassone metallico;0
BOX_00476;bancale in polistirolo;7
BOX_00477;bancale in polistirolo;8
BOX_00478;bancale in polistirolo;6
BOX_00479;cassone metallico;0
BOX_00480;cassone metallico;0
BOX_00481;cassone metallico;0
BOX_00482;cassone metallico;0
BOX_00483;cassone metallico;0
BOX_00484;cassone metallico;0
BOX_00485;bancale in polistirolo;8
BOX_00486;bancale in polistirolo;8
BOX_00487;cassone metallico;0
BOX_00488;bancale in polistirolo;8
BOX_00489;bancale in polistirolo;8
BOX_00490;cassone metallico;0
BOX_00491;cassone metallico;0
BOX_00492;bancale in polistirolo;1
BOX_00493;bancale in polistirolo;8
BOX_00494;bancale in polistirolo;8
BOX_00495;cassone metallico;0
BOX_00496;bancale in polistirolo;8
BOX_00497;cassone metallico;0
BOX_00498;bancale in polistirolo;8
BOX_00499;bancale in polistirolo;6
BOX_00500;cassone metallico;0
BOX_00501;cassone metallico;0
BOX_00502;bancale in polistirolo;8
BOX_00503;cassone metallico;0
BOX_00504;bancale in polistirolo;8
BOX_00505;bancale in polistirolo;6
BOX_00506;bancale in polistirolo;8
BOX_00507;cassone metallico;0
BOX_00508;bancale in polistirolo;8
BOX_00509;cassone metallico;0
BOX_00510;cassone metallico;0
BOX_00511;cassone metallico;0
BOX_00512;cassone metallico;0
BOX_00513;bancale in polistirolo;8
BOX_00514;cassone metallico;0
BOX_00515;bancale in polistirolo;8
BOX_00516;bancale in polistirolo;6
BOX_00517;bancale in polistirolo;2
BOX_00518;cassone metallico;0
BOX_00519;cassone metallico;0
BOX_00520;cassone metallico;0
BOX_00521;cassone metallico;0
BOX_00522;cassone metallico;0
BOX_00523;bancale in polistirolo;8
BOX_00524;bancale in polistirolo;8
BOX_00525;bancale in polistirolo;8
BOX_00526;cassone metallico;0
BOX_00527;cassone metallico;0
BOX_00528;bancale in polistirolo;8
BOX_00529;bancale in polistirolo;4
BOX_00530;cassone metallico;0
BOX_00531;cassone metallico;0
BOX_00532;bancale in polistirolo;1
BOX_00533;cassone metallico;0
BOX_00534;cassone metallico;0
BOX_00535;cassone metallico;0
BOX_00536;cassone metallico;0
BOX_00537;bancale in polistirolo;8
BOX_00538;cassone metallico;0
BOX_00539;bancale in polistirolo;8
BOX_00540;bancale in polistirolo;8
BOX_00541;cassone metallico;0
BOX_00542;cassone metallico;0
BOX_00543;cassone metallico;0
BOX_00544;bancale in polistirolo;8
BOX_00545;bancale in polistirolo;4
BOX_00546;bancale in polistirolo;8
BOX_00547;bancale in polistirolo;8
BOX_00548;bancale in polistirolo;4
BOX_00549;cassone metallico;0
BOX_00550;bancale in polistirolo;7
BOX_00551;bancale in polistirolo;8
BOX_00552;cassone metallico;0
BOX_00553;cassone metallico;0
BOX_00554;cassone metallico;0
BOX_00555;cassone metallico;0
BOX_00556;cassone metallico;0
BOX_00557;bancale in polistirolo;1
BOX_00558;cassone metallico;0
BOX_00559;cassone metallico;0
BOX_00560;cassone metallico;0
BOX_00561;bancale in polistirolo;7
BOX_00562;bancale in polistirolo;8
BOX_00563;cassone metallico;0
BOX_00564;cassone metallico;0
BOX_00565;cassone metallico;0
BOX_00566;bancale in polistirolo;8
BOX_00567;bancale in polistirolo;3
BOX_00568;bancale in polistirolo;8
BOX_00569;cassone metallico;0
BOX_00570;bancale in polistirolo;8
BOX_00571;cassone metallico;0
BOX_00572;cassone metallico;0
BOX_00573;bancale in polistirolo;7
BOX_00574;cassone metallico;0
BOX_00575;bancale in polistirolo;1
BOX_00576;bancale in polistirolo;8
BOX_00577;cassone metallico;0
BOX_00578;bancale in polistirolo;8
BOX_00579;bancale in polistirolo;6
BOX_00580;cassone metallico;0
BOX_00581;cassone metallico;0
BOX_00582;cassone metallico;0
BOX_00583;bancale in polistirolo;7
BOX_00584;bancale in polistirolo;8
BOX_00585;cassone metallico;0
BOX_00586;bancale in polistirolo;8
BOX_00587;cassone metallico;0
BOX_00588;bancale in polistirolo;8
BOX_00589;cassone metallico;0
BOX_00590;bancale in polistirolo;8
BOX_00591;bancale in polistirolo;8
BOX_00592;cassone metallico;0
BOX_00593;cassone metallico;0
BOX_00594;bancale in polistirolo;2
BOX_00595;bancale in polistirolo;8
BOX_00596;cassone metallico;0
BOX_00597;cassone metallico;0
BOX_00598;bancale in polistirolo;8
BOX_00599;bancale in polistirolo;6
BOX_00600;bancale in polistirolo;8
BOX_00601;bancale in polistirolo;4
BOX_00602;cassone metallico;0
BOX_00603;cassone metallico;0
BOX_00604;cassone metallico;0
BOX_00605;bancale in polistirolo;8
BOX_00606;bancale in polistirolo;8
BOX_00607;bancale in polistirolo;8
BOX_00608;cassone metallico;0
BOX_00609;cassone metallico;0
BOX_00610;cassone metallico;0
BOX_00611;cassone metallico;0
BOX_00612;bancale in polistirolo;7
BOX_00613;cassone metallico;0
BOX_00614;bancale in polistirolo;1
BOX_00615;bancale in polistirolo;8
BOX_00616;cassone metallico;0
BOX_00617;cassone metallico;0
BOX_00618;bancale in polistirolo;8
BOX_00619;bancale in polistirolo;6
BOX_00620;cassone metallico;0
BOX_00621;cassone metallico;0
BOX_00622;cassone metallico;0
BOX_00623;bancale in polistirolo;3
BOX_00624;bancale in polistirolo;8
BOX_00625;bancale in polistirolo;8
BOX_00626;cassone metallico;0
BOX_00627;bancale in polistirolo;8
BOX_00628;bancale in polistirolo;8
BOX_00629;bancale in polistirolo;5
BOX_00630;bancale in polistirolo;7
BOX_00631;bancale in polistirolo;8
BOX_00632;cassone metallico;0
BOX_00633;cassone metallico;0
BOX_00634;cassone metallico;0
BOX_00635;cassone metallico;0
BOX_00636;cassone metallico;0
BOX_00637;bancale in polistirolo;8
BOX_00638;cassone metallico;0
BOX_00639;cassone metallico;0
BOX_00640;cassone metallico;0
BOX_00641;cassone metallico;0
BOX_00642;cassone metallico;0
BOX_00643;cassone metallico;0
BOX_00644;bancale in polistirolo;8
BOX_00645;cassone metallico;0
BOX_00646;cassone metallico;0
BOX_00647;bancale in polistirolo;8
BOX_00648;bancale in polistirolo;8
BOX_00649;bancale in polistirolo;8
BOX_00650;bancale in polistirolo;8
BOX_00651;bancale in polistirolo;8
BOX_00652;cassone metallico;0
BOX_00653;cassone metallico;0
BOX_00654;cassone metallico;0
BOX_00655;cassone metallico;0
BOX_00656;bancale in polistirolo;8
BOX_00657;bancale in polistirolo;8
BOX_00658;cassone metallico;0
BOX_00659;bancale in polistirolo;6
BOX_00660;cassone metallico;0
BOX_00661;bancale in polistirolo;8
BOX_00662;bancale in polistirolo;8
BOX_00663;cassone metallico;0
BOX_00664;bancale in polistirolo;5
BOX_00665;bancale in polistirolo;8
BOX_00666;bancale in polistirolo;8
BOX_00667;cassone metallico;0
BOX_00668;bancale in polistirolo;8
BOX_00669;cassone metallico;0
BOX_00670;bancale in polistirolo;2
BOX_00671;cassone metallico;0
BOX_00672;bancale in polistirolo;1
BOX_00673;cassone metallico;0
BOX_00674;bancale in polistirolo;8
BOX_00675;bancale in polistirolo;7
BOX_00676;bancale in polistirolo;8
BOX_00677;cassone metallico;0
BOX_00678;bancale in polistirolo;8
BOX_00679;bancale in polistirolo;2
BOX_00680;cassone metallico;0
BOX_00681;cassone metallico;0
BOX_00682;cassone metallico;0
BOX_00683;bancale in polistirolo;8
BOX_00684;cassone metallico;0
BOX_00685;cassone metallico;0
BOX_00686;cassone metallico;0
BOX_00687;bancale in polistirolo;1
BOX_00688;bancale in polistirolo;8
BOX_00689;bancale in polistirolo;8
BOX_00690;cassone metallico;0
BOX_00691;bancale in polistirolo;8
BOX_00692;cassone metallico;0
BOX_00693;bancale in polistirolo;8
BOX_00694;cassone metallico;0
BOX_00695;cassone metallico;0
BOX_00696;bancale in polistirolo;8
BOX_00697;bancale in polistirolo;8
BOX_00698;cassone metallico;0
BOX_00699;bancale in polistirolo;4
BOX_00700;bancale in polistirolo;8
BOX_00701;cassone metallico;0
BOX_00702;bancale in polistirolo;8
BOX_00703;cassone metallico;0
BOX_00704;cassone metallico;0
BOX_00705;bancale in polistirolo;1
BOX_00706;bancale in polistirolo;8
BOX_00707;bancale in polistirolo;8
BOX_00708;cassone metallico;0
BOX_00709;bancale in polistirolo;8
BOX_00710;bancale in polistirolo;8
BOX_00711;cassone metallico;0
BOX_00712;cassone metallico;0
BOX_00713;bancale in polistirolo;2
BOX_00714;cassone metallico;0
BOX_00715;cassone metallico;0
BOX_00716;cassone metallico;0
BOX_00717;bancale in polistirolo;7
BOX_00718;cassone metallico;0
BOX_00719;bancale in polistirolo;1
BOX_00720;cassone metallico;0
BOX_00721;bancale in polistirolo;7
BOX_00722;bancale in polistirolo;8
BOX_00723;bancale in polistirolo;8
BOX_00724;cassone metallico;0
BOX_00725;bancale in polistirolo;5
BOX_00726;cassone metallico;0
BOX_00727;cassone metallico;0
BOX_00728;bancale in polistirolo;8
BOX_00729;cassone metallico;0
BOX_00730;cassone metallico;0
BOX_00731;cassone metallico;0
BOX_00732;cassone metallico;0
BOX_00733;cassone metallico;0
BOX_00734;cassone metallico;0
BOX_00735;bancale in polistirolo;1
BOX_00736;cassone metallico;0
BOX_00737;cassone metallico;0
BOX_00738;cassone metallico;0
BOX_00739;cassone metallico;0
BOX_00740;bancale in polistirolo;8
BOX_00741;cassone metallico;0
BOX_00742;bancale in polistirolo;8
BOX_00743;cassone metallico;0
BOX_00744;cassone metallico;0
BOX_00745;bancale in polistirolo;1
BOX_00746;cassone metallico;0
BOX_00747;bancale in polistirolo;1
BOX_00748;cassone metallico;0
BOX_00749;bancale in polistirolo;7
BOX_00750;bancale in polistirolo;8
BOX_00751;cassone metallico;0
BOX_00752;cassone metallico;0
BOX_00753;cassone metallico;0
BOX_00754;bancale in polistirolo;8
BOX_00755;bancale in polistirolo;4
BOX_00756;bancale in polistirolo;8
BOX_00757;bancale in polistirolo;2
BOX_00758;cassone metallico;0
BOX_00759;bancale in polistirolo;8
BOX_00760;bancale in polistirolo;8
BOX_00761;cassone metallico;0
BOX_00762;bancale in polistirolo;8
BOX_00763;cassone metallico;0
BOX_00764;cassone metallico;0
BOX_00765;cassone metallico;0
BOX_00766;bancale in polistirolo;8
BOX_00767;cassone metallico;0
BOX_00768;cassone metallico;0
BOX_00769;bancale in polistirolo;8
BOX_00770;cassone metallico;0
BOX_00771;cassone metallico;0
BOX_00772;bancale in polistirolo;8
BOX_00773;bancale in polistirolo;8
BOX_00774;cassone metallico;0
BOX_00775;cassone metallico;0
BOX_00776;bancale in polistirolo;1
BOX_00777;cassone metallico;0
BOX_00778;bancale in polistirolo;1
BOX_00779;bancale in polistirolo;8
BOX_00780;cassone metallico;0
BOX_00781;bancale in polistirolo;8
BOX_00782;cassone metallico;0
BOX_00783;cassone metallico;0
BOX_00784;bancale in polistirolo;8
BOX_00785;cassone metallico;0
BOX_00786;cassone metallico;0
BOX_00787;cassone metallico;0
BOX_00788;bancale in polistirolo;7
BOX_00789;bancale in polistirolo;6
BOX_00790;bancale in polistirolo;8
BOX_00791;cassone metallico;0
BOX_00792;bancale in polistirolo;8
BOX_00793;cassone metallico;0
BOX_00794;bancale in polistirolo;8
BOX_00795;bancale in polistirolo;8
BOX_00796;cassone metallico;0
