id_contenitore_rif;data_verifica;ispettore;campione_pezzi;scartati;cod_difetto;motivo;orario_collaudo
BANC_0016;03/09/2026;MAT-0012;256;9;DIF-02;anima piena;2026/09/03 21:00:28
BANC_0006;04/09/2026;MAT-0012;153;4;  DIF-03 ;anima fuori tolleranza;04/09/2026 00:00
Banc_0020;03/09/2026;MAT-0013;192;5;DIF-02;anima piena;03/09/2026 17:25:23
Banc_0012;2026/09/03;  MAT-0013 ;192;7;  DIF-03 ;  anima fuori tolleranza ;03-09-2026 18:51:02
BANC_0007;03-09-2026;  MAT-0013 ;192;5;DIF-02;Anima piena;03/09/2026 20:16:35
BANC_0018;03/09/2026;MAT-0013;192;5;DIF-01;  anima rotta ;03-09-2026 21:42:14
BANC_0008;2026/09/03;MAT-0013;192;7;DIF-02;anima piena;03/09/2026 23:07:47
BANC_0004;2026/09/04;MAT-0013;118;4;DIF-03;anima fuori tolleranza;04/09/2026 00:00:00
CASS_0006;2026/09/03;mat-0014;14;1;DIF-02;anima piena;03/09/2026 16:18:07
BANC_0019;03/09/2026;MAT-0014;256;9;DIF-03;anima fuori tolleranza;03/09/2026 21:48:38
BANC_0013;2026/09/04;MAT-0014;112;3;DIF-02;anima piena;04/09/2026 00:00:00
cass_0008;2026/09/03;MAT-0015;300;11;Dif-03;anima fuori tolleranza;03/09/2026 18:23:33
CASS_0005;03/09/2026;  MAT-0015 ;300;11;  DIF-03 ;anima fuori tolleranza;2026/09/03 20:47:17
CASS_0001;03/09/2026;MAT-0015;300;12;DIF-01;anima rotta;03/09/2026 23:11:00
BANC_0005;04/09/2026;MAT-0015;102;3;Dif-01;anima rotta;04-09-2026 00:00:00
BANC_0003;04/09/2026;Mat-0001;160;5;Dif-01;anima rotta;04/09/2026 03:26:21
BANC_0007;04/09/2026;MAT-0001;160;4;DIF-02;anima piena;04/09/2026 06:53:02
BANC_0002;04-09-2026;  MAT-0001 ;52;2;dif-01;anima rotta;04/09/2026 08:00:00
Banc_0017;2026/09/04;MAT-0002;256;9;DIF-03;anima fuori tolleranza;2026/09/04 05:49:33
BANC_0010;04-09-2026;mat-0002;111;3;dif-02;anima piena;04/09/2026 08:00:00
  BANC_0011 ;2026/09/04;MAT-0003;192;6;  DIF-01 ;anima rotta;04-09-2026 01:25:31
BANC_0020;04/09/2026;  MAT-0003 ;192;5;DIF-02;anima piena;04/09/2026 02:51:09
  BANC_0012 ;04/09/2026;MAT-0003;192;5;DIF-03;anima fuori tolleranza;04/09/2026 04:16
  BANC_0018 ;2026/09/04;MAT-0003;192;5;DIF-03;anima fuori tolleranza;04/09/2026 05:42:18
Banc_0016;04/09/2026;  MAT-0003 ;192;6;DIF-01;  anima rotta ;04/09/2026 07:07:52
Banc_0001;04/09/2026;MAT-0003;76;3;dif-03;anima fuori tolleranza;04/09/2026 07:41:58
CASS_0002;04/09/2026;mat-0004;400;15;DIF-02;anima piena;04/09/2026 07:49:46
Banc_0004;04/09/2026;MAT-0004;9;0;;;04/09/2026 08:00
BANC_0014;04/09/2026;MAT-0005;160;6;DIF-02;anima piena;04/09/2026 01:16:28
BANC_0015;04/09/2026;mat-0005;160;5;DIF-01;  anima rotta ;04/09/2026 02:33:11
CASS_0006;04/09/2026;  MAT-0005 ;300;10;DIF-03;anima fuori tolleranza;04/09/2026 04:56:54
BANC_0019;04/09/2026;MAT-0005;40;1;DIF-01;anima rotta;04/09/2026 05:16:17
CASS_0004;04-09-2026;MAT-0005;294;11;DIF-03;anima fuori tolleranza;04-09-2026 08:00:00
BANC_0008;04/09/2026;MAT-0006;160;5;DIF-03;anima fuori tolleranza;2026/09/04 11:26:15
  BANC_0006 ;2026/09/04;MAT-0006;160;6;DIF-03;anima fuori tolleranza;04/09/2026 14:52
BANC_0002;2026/09/04;  MAT-0006 ;52;2;DIF-02;anima piena;04/09/2026 16:00
BANC_0014;04/09/2026;MAT-0007;66;2;DIF-01;anima rotta;2026/09/04 09:17:36
BANC_0013;04-09-2026;MAT-0007;160;5;DIF-03;Anima fuori tolleranza;2026/09/04 13:24:00
BANC_0007;04/09/2026;MAT-0007;121;5;dif-02;anima piena;04/09/2026 16:00
Cass_0001;04-09-2026;  MAT-0008 ;300;12;  DIF-02 ;  anima piena ;2026/09/04 10:23:30
BANC_0012;04/09/2026;MAT-0008;160;4;  DIF-01 ;Anima rotta;04/09/2026 11:40:05
BANC_0003;04-09-2026;MAT-0008;160;6;DIF-01;Anima rotta;04/09/2026 12:56
banc_0015;2026/09/04;MAT-0008;160;6;DIF-02;  anima piena ;04/09/2026 14:13
banc_0004;04/09/2026;MAT-0008;160;5;DIF-03;anima fuori tolleranza;04/09/2026 15:30:02
BANC_0001;04/09/2026;MAT-0008;64;2;dif-03;  anima fuori tolleranza ;04/09/2026 16:00:00
BANC_0011;04/09/2026;MAT-0009;256;10;DIF-01;anima rotta;04/09/2026 13:00:22
BANC_0019;04-09-2026;  MAT-0009 ;153;5;DIF-03;anima fuori tolleranza;04/09/2026 16:00:00
BANC_0009;2026/09/04;MAT-0010;192;7;DIF-03;anima fuori tolleranza;04/09/2026 09:25:26
BANC_0020;04/09/2026;Mat-0010;192;6;DIF-03;anima fuori tolleranza;04/09/2026 10:50
CASS_0007;04/09/2026;MAT-0010;350;13;DIF-01;  anima rotta ;04-09-2026 13:27:03
BANC_0016;2026/09/04;  MAT-0010 ;192;7;DIF-03;anima fuori tolleranza;04/09/2026 14:52:47
  BANC_0005 ;04/09/2026;MAT-0010;152;5;Dif-01;  anima rotta ;04-09-2026 16:00:00
BANC_0010;04/09/2026;Mat-0011;107;3;DIF-02;anima piena;2026/09/04 18:18:06
BANC_0014;04/09/2026;MAT-0011;160;5;DIF-02;anima piena;04/09/2026 20:09
BANC_0009;04-09-2026;Mat-0011;160;6;DIF-01;anima rotta;04/09/2026 21:26:07
BANC_0008;04/09/2026;  MAT-0011 ;160;4;DIF-01;Anima rotta;04/09/2026 22:42:44
BANC_0002;04/09/2026;MAT-0011;160;4;Dif-02;anima piena;04/09/2026 23:59:27
  BANC_0005 ;05-09-2026;mat-0011;2;0;;;05/09/2026 00:00:00
BANC_0017;2026/09/04;MAT-0012;160;6;DIF-02;anima piena;04/09/2026 19:26:21
BANC_0018;04/09/2026;  MAT-0012 ;160;5;DIF-03;anima fuori tolleranza;04/09/2026 22:52:58
BANC_0006;05-09-2026;  MAT-0012 ;52;1;DIF-02;anima piena;2026/09/05 00:00:00
CASS_0006;04/09/2026;MAT-0013;300;10;DIF-03;anima fuori tolleranza;04/09/2026 18:23:31
CASS_0003;04/09/2026;Mat-0013;300;8;Dif-02;anima piena;04-09-2026 20:47:21
BANC_0003;04-09-2026;MAT-0013;160;6;  DIF-02 ;anima piena;04/09/2026 22:04
BANC_0011;2026/09/04;MAT-0013;160;6;DIF-03;  anima fuori tolleranza ;04/09/2026 23:20:39
BANC_0001;05/09/2026;MAT-0013;82;3;DIF-02;anima piena;05/09/2026 00:00:00
CASS_0008;2026/09/04;mat-0014;400;10;Dif-03;anima fuori tolleranza;04/09/2026 23:49:38
BANC_0007;05-09-2026;MAT-0014;9;0;;;05/09/2026 00:00:00
CASS_0010;04-09-2026;MAT-0015;350;10;Dif-02;anima piena;04/09/2026 18:35:56
CASS_0002;04/09/2026;MAT-0015;350;13;DIF-03;Anima fuori tolleranza;04/09/2026 21:11:53
BANC_0012;04/09/2026;MAT-0015;192;7;Dif-03;Anima fuori tolleranza;04/09/2026 22:37:26
BANC_0016;04/09/2026;  MAT-0015 ;170;5;DIF-01;anima rotta;2026/09/04 23:53:27
BANC_0005;07/09/2026;  MAT-0001 ;160;5;DIF-02;  anima piena ;07/09/2026 01:16:24
BANC_0001;07/09/2026;mat-0001;160;4;DIF-02;anima piena;07/09/2026 02:33:03
Banc_0004;07/09/2026;MAT-0001;160;6;DIF-03;anima fuori tolleranza;07-09-2026 03:49:42
  BANC_0006 ;07-09-2026;MAT-0001;160;6;DIF-02;  anima piena ;07/09/2026 05:06:22
  BANC_0002 ;2026/09/07;MAT-0001;160;5;DIF-02;anima piena;07/09/2026 06:23
BANC_0008;07-09-2026;  MAT-0001 ;160;4;DIF-02;anima piena;07/09/2026 07:39
BANC_0009;2026/09/07;MAT-0001;42;1;DIF-02;anima piena;07/09/2026 08:00:00
BANC_0012;07/09/2026;MAT-0002;160;6;DIF-02;anima piena;07/09/2026 03:26
BANC_0007;07/09/2026;MAT-0002;160;5;DIF-03;anima fuori tolleranza;07/09/2026 06:53
BANC_0011;07/09/2026;MAT-0002;52;2;Dif-03;anima fuori tolleranza;07/09/2026 08:00
BANC_0014;07/09/2026;Mat-0003;160;6;DIF-02;anima piena;07/09/2026 01:16
BANC_0016;07/09/2026;MAT-0003;160;5;DIF-02;  anima piena ;07/09/2026 02:33:01
BANC_0003;07/09/2026;  MAT-0003 ;160;4;dif-01;anima rotta;07/09/2026 03:49
BANC_0010;07/09/2026;mat-0003;160;6;DIF-03;anima fuori tolleranza;07-09-2026 05:06:25
banc_0015;07/09/2026;Mat-0003;160;5;DIF-03;anima fuori tolleranza;07/09/2026 06:23:04
BANC_0019;07/09/2026;mat-0003;130;3;DIF-03;anima fuori tolleranza;07/09/2026 07:25:35
BANC_0018;07-09-2026;MAT-0004;256;7;DIF-03;  anima fuori tolleranza ;2026/09/07 05:00:27
CASS_0002;2026/09/07;MAT-0004;153;5;DIF-01;anima rotta;07/09/2026 08:00:00
CASS_0003;07/09/2026;MAT-0005;400;12;DIF-02;anima piena;2026/09/07 07:49:39
BANC_0013;07-09-2026;MAT-0005;9;0;;;07/09/2026 08:00:00
BANC_0020;2026/09/07;MAT-0006;160;6;DIF-02;anima piena;2026/09/07 09:16:29
BANC_0005;07/09/2026;MAT-0006;160;5;DIF-03;anima fuori tolleranza;07/09/2026 10:33:11
BANC_0004;07/09/2026;MAT-0006;160;5;DIF-02;anima piena;07/09/2026 11:49
BANC_0001;07-09-2026;MAT-0006;160;6;  DIF-02 ;anima piena;2026/09/07 13:06:31
BANC_0006;07/09/2026;MAT-0006;160;5;Dif-03;anima fuori tolleranza;07/09/2026 14:23
BANC_0007;07/09/2026;MAT-0006;160;4;DIF-03;anima fuori tolleranza;2026/09/07 15:39:42
banc_0010;07/09/2026;MAT-0006;42;1;DIF-02;anima piena;07/09/2026 16:00:00
CASS_0005;2026/09/07;MAT-0007;250;8;DIF-02;anima piena;07/09/2026 13:22:35
  BANC_0012 ;07/09/2026;mat-0007;122;3;DIF-01;anima rotta;07/09/2026 16:00:00
CASS_0004;07/09/2026;Mat-0008;400;12;  DIF-02 ;  anima piena ;07-09-2026 15:49:47
BANC_0008;07/09/2026;MAT-0008;9;0; ;;07/09/2026 16:00
CASS_0007;2026/09/07;MAT-0009;94;4;  DIF-03 ;anima fuori tolleranza;2026/09/07 09:50:30
BANC_0016;07/09/2026;mat-0009;160;5;DIF-01;anima rotta;07/09/2026 11:50:02
BANC_0014;07/09/2026;mat-0009;160;6;DIF-03;anima fuori tolleranza;07/09/2026 13:06:39
BANC_0002;07/09/2026;mat-0009;160;5;dif-01;  anima rotta ;07/09/2026 14:23:19
banc_0015;07-09-2026;mat-0009;160;6;DIF-01;anima rotta;07/09/2026 15:39:58
BANC_0013;07-09-2026;MAT-0009;42;1;  DIF-03 ;anima fuori tolleranza;07/09/2026 16:00:00
Cass_0001;07/09/2026;MAT-0010;400;12;DIF-03;anima fuori tolleranza;07/09/2026 15:49:56
BANC_0003;07/09/2026;MAT-0010;9;0;;;07/09/2026 16:00:00
BANC_0018;07-09-2026;  MAT-0011 ;160;4;DIF-01;Anima rotta;07/09/2026 17:16:23
BANC_0019;2026/09/07;MAT-0011;160;5;DIF-02;anima piena;07/09/2026 18:33:04
BANC_0011;07/09/2026;MAT-0011;160;4;DIF-02;anima piena;07-09-2026 19:49:42
BANC_0005;2026/09/07;MAT-0011;160;6;DIF-02;anima piena;07-09-2026 21:06:29
banc_0004;07/09/2026;MAT-0011;160;6;DIF-02;anima piena;07/09/2026 22:23:05
Banc_0002;07/09/2026;MAT-0011;110;4;DIF-02;  anima piena ;07/09/2026 23:16:02
Banc_0003;08/09/2026;MAT-0011;6;0;nessuno;   ;08-09-2026 00:00:00
CASS_0003;07/09/2026;mat-0012;250;9;DIF-02;anima piena;07/09/2026 21:22:38
BANC_0014;08/09/2026;MAT-0012;122;3;DIF-03;anima fuori tolleranza;08-09-2026 00:00:00
CASS_0006;07/09/2026;MAT-0013;400;16;DIF-03;anima fuori tolleranza;07/09/2026 23:49:47
BANC_0008;08-09-2026;mat-0013;9;0; ;;08-09-2026 00:00:00
BANC_0009;07/09/2026;mat-0014;160;4;DIF-02;anima piena;07-09-2026 17:16:21
BANC_0017;07/09/2026;MAT-0014;160;6;DIF-02;anima piena;07/09/2026 18:33
CASS_0008;07/09/2026;MAT-0014;300;9;DIF-01;anima rotta;07/09/2026 20:56
BANC_0001;2026/09/07;MAT-0014;160;5;DIF-03;anima fuori tolleranza;07/09/2026 22:13:39
BANC_0010;2026/09/07;MAT-0014;160;4;Dif-02;anima piena;07/09/2026 23:30:23
Banc_0009;08/09/2026;MAT-0014;62;2;DIF-02;anima piena;08/09/2026 00:00:00
CASS_0009;07/09/2026;  MAT-0015 ;400;11;DIF-02;anima piena;07/09/2026 23:49:46
Banc_0007;08-09-2026;MAT-0015;9;0;;;2026/09/08 00:00:00
BANC_0012;08/09/2026;MAT-0001;192;6;DIF-02;  anima piena ;2026/09/08 01:25:16
BANC_0015;08/09/2026;MAT-0001;192;7;dif-01;anima rotta;08/09/2026 02:50:51
  BANC_0011 ;08/09/2026;MAT-0001;192;7;DIF-03;anima fuori tolleranza;2026/09/08 04:16:32
BANC_0001;08-09-2026;MAT-0001;192;7;Dif-01;anima rotta;08/09/2026 05:42
BANC_0006;2026/09/08;MAT-0001;192;6;DIF-03;anima fuori tolleranza;08/09/2026 07:07:34
BANC_0003;08/09/2026;MAT-0001;118;4;DIF-01;anima rotta;08/09/2026 08:00:00
BANC_0018;08/09/2026;MAT-0002;160;4;  DIF-01 ;anima rotta;08/09/2026 03:26:24
banc_0016;2026/09/08;mat-0002;160;4;dif-01;anima rotta;2026/09/08 06:53:07
BANC_0007;08/09/2026;MAT-0002;52;2;dif-03;  anima fuori tolleranza ;08-09-2026 08:00:00
CASS_0002;08/09/2026;MAT-0003;378;11;  DIF-03 ;anima fuori tolleranza;08/09/2026 08:00:00
CASS_0004;2026/09/08;MAT-0004;300;10;Dif-01;anima rotta;08/09/2026 02:23
BANC_0017;08/09/2026;mat-0004;160;4;dif-02;  anima piena ;08-09-2026 03:40:04
BANC_0020;08/09/2026;MAT-0004;160;4;  DIF-01 ;anima rotta;08/09/2026 04:56
BANC_0013;08/09/2026;MAT-0004;160;6;DIF-02;anima piena;08-09-2026 06:13:26
BANC_0008;08/09/2026;MAT-0004;160;6;DIF-01;anima rotta;08/09/2026 07:30
BANC_0010;2026/09/08;MAT-0004;62;2;DIF-01;anima rotta;08/09/2026 08:00:00
