data_turno;turno;macchina;kwh;kg_sabbia;litri_legante
03/09/2026;1;SOFF_VERT_01;273,47;1909,25;34,37
03/09/2026;1;soff_vert_02;423,10;3790,34;68,23
03/09/2026;2;SOFF_ORIZZ_01;225,20;1636,80;29,46
03/09/2026;2;SOFF_ORIZZ_02;238,15;1799,60;32,39
03/09/2026;2;SOFF_ORIZZ_03;362,40;3361,60;60,51
03/09/2026;2;soff_vert_01;288,26;2095,10;37,71
03/09/2026;2;SOFF_VERT_02;570,50;5643,26;101,58
03/09/2026;3;SOFF_ORIZZ_01;225,20;1636,80;29,46
03/09/2026;3;SOFF_ORIZZ_02;238,15;1799,60;32,39
2026/09/03;3;SOFF_ORIZZ_03;472,30;4743,20;85,38
03-09-2026;3;SOFF_VERT_01;292,74;2151,42;38,73
03-09-2026;3;SOFF_VERT_02;570,50;5643,26;101,58
04/09/2026;1;SOFF_ORIZZ_01;225,20;1636,80;29,46
04/09/2026;1;SOFF_ORIZZ_02;223,45;1614,80;29,07
2026/09/04;1;SOFF_ORIZZ_03;457,60;4558,40;82,05
04/09/2026;1;soff_vert_01;304,83;2303,49;41,46
04/09/2026;1;SOFF_VERT_02;548,99;5372,93;96,71
04/09/2026;2;SOFF_ORIZZ_01;225,20;1636,80;29,46
2026/09/04;2;Soff_orizz_02;216,45;1526,80;27,48
2026/09/04;2;SOFF_ORIZZ_03;446,40;4417,60;79,52
04/09/2026;2;  SOFF_VERT_01 ;304,83;2303,49;41,46
04/09/2026;2;SOFF_VERT_02;604,54;6071,30;109,28
04/09/2026;3;SOFF_ORIZZ_01;357,15;3295,60;59,32
2026/09/04;3;soff_orizz_02;225,20;1636,80;29,46
04/09/2026;3;SOFF_ORIZZ_03;445,70;4408,80;79,36
04/09/2026;3;SOFF_VERT_01;304,83;2303,49;41,46
04/09/2026;3;SOFF_VERT_02;597,38;5981,18;107,66
07/09/2026;1;SOFF_ORIZZ_01;445,70;4408,80;79,36
07/09/2026;1;SOFF_ORIZZ_02;225,20;1636,80;29,46
2026/09/07;1;SOFF_ORIZZ_03;420,50;4092,00;73,66
2026/09/07;1;SOFF_VERT_01;304,83;2303,49;41,46
07/09/2026;1;SOFF_VERT_02;304,83;2303,49;41,46
07-09-2026;2;SOFF_ORIZZ_01;445,70;4408,80;79,36
2026/09/07;2;  SOFF_ORIZZ_02 ;225,20;1636,80;29,46
2026/09/07;2;SOFF_ORIZZ_03;238,15;1799,60;32,39
07/09/2026;2;  SOFF_VERT_01 ;469,25;4370,43;78,67
07/09/2026;2;SOFF_VERT_02;304,83;2303,49;41,46
07/09/2026;3;  SOFF_ORIZZ_01 ;415,60;4030,40;72,55
07/09/2026;3;SOFF_ORIZZ_02;225,20;1636,80;29,46
07/09/2026;3;SOFF_ORIZZ_03;238,15;1799,60;32,39
07/09/2026;3;SOFF_VERT_01;570,50;5643,26;101,58
07/09/2026;3;SOFF_VERT_02;304,83;2303,49;41,46
08/09/2026;1;SOFF_ORIZZ_01;472,30;4743,20;85,38
08/09/2026;1;  SOFF_ORIZZ_02 ;225,20;1636,80;29,46
2026/09/08;1;SOFF_ORIZZ_03;227,30;1663,20;29,94
08/09/2026;1;Soff_vert_01;570,50;5643,26;101,58
2026/09/08;1;SOFF_VERT_02;304,83;2303,49;41,46
08/09/2026;2;SOFF_ORIZZ_01;472,30;4743,20;85,38
08-09-2026;2;SOFF_ORIZZ_02;219,60;1566,40;28,20
08/09/2026;2;  SOFF_ORIZZ_03 ;238,15;1799,60;32,39
2026/09/08;2;SOFF_VERT_01;343,36;2787,84;50,18
08/09/2026;2;SOFF_VERT_02;304,83;2303,49;41,46
2026/09/08;3;SOFF_ORIZZ_01;472,30;4743,20;85,38
08/09/2026;3;SOFF_ORIZZ_02;238,15;1799,60;32,39
08/09/2026;3;SOFF_ORIZZ_03;238,15;1799,60;32,39
08/09/2026;3;SOFF_VERT_01;288,26;2095,10;37,71
2026/09/08;3;SOFF_VERT_02;304,83;2303,49;41,46
09/09/2026;1;SOFF_ORIZZ_01;417,00;4048,00;72,86
09/09/2026;1;SOFF_ORIZZ_02;238,15;1799,60;32,39
09/09/2026;1;SOFF_ORIZZ_03;238,15;1799,60;32,39
09/09/2026;1;soff_vert_01;288,26;2095,10;37,71
2026/09/09;1;SOFF_VERT_02;304,83;2303,49;41,46
2026/09/09;2;SOFF_ORIZZ_01;445,70;4408,80;79,36
09-09-2026;2;SOFF_ORIZZ_02;238,15;1799,60;32,39
09/09/2026;2;SOFF_ORIZZ_03;238,15;1799,60;32,39
09-09-2026;2;soff_vert_01;288,26;2095,10;37,71
09/09/2026;2;SOFF_VERT_02;292,74;2151,42;38,73
09-09-2026;3;soff_orizz_01;446,40;4417,60;79,52
09/09/2026;3;SOFF_ORIZZ_02;238,15;1799,60;32,39
09/09/2026;3;SOFF_ORIZZ_03;238,15;1799,60;32,39
2026/09/09;3;SOFF_VERT_01;288,26;2095,10;37,71
09-09-2026;3;soff_vert_02;324,99;2556,93;46,02
10-09-2026;1;SOFF_ORIZZ_01;266,85;2160,40;38,89
10/09/2026;1;SOFF_ORIZZ_02;238,15;1799,60;32,39
10/09/2026;1;SOFF_ORIZZ_03;412,45;3990,80;71,83
10-09-2026;1;SOFF_VERT_01;288,26;2095,10;37,71
10/09/2026;1;SOFF_VERT_02;324,99;2556,93;46,02
10/09/2026;2;SOFF_ORIZZ_01;225,20;1636,80;29,46
2026/09/10;2;SOFF_ORIZZ_02;238,15;1799,60;32,39
10/09/2026;2;SOFF_ORIZZ_03;446,40;4417,60;79,52
10/09/2026;2;SOFF_VERT_01;288,26;2095,10;37,71
10/09/2026;2;SOFF_VERT_02;324,99;2556,93;46,02
10/09/2026;3;SOFF_ORIZZ_01;225,20;1636,80;29,46
10/09/2026;3;  SOFF_ORIZZ_02 ;238,15;1799,60;32,39
10/09/2026;3;SOFF_ORIZZ_03;446,40;4417,60;79,52
10/09/2026;3;SOFF_VERT_01;288,26;2095,10;37,71
2026/09/10;3;SOFF_VERT_02;324,99;2556,93;46,02
11/09/2026;1;  SOFF_ORIZZ_01 ;225,20;1636,80;29,46
11/09/2026;1;SOFF_ORIZZ_02;296,95;2538,80;45,70
11/09/2026;1;SOFF_ORIZZ_03;427,50;4180,00;75,24
2026/09/11;1;SOFF_VERT_01;288,26;2095,10;37,71
11/09/2026;1;SOFF_VERT_02;324,99;2556,93;46,02
2026/09/11;2;SOFF_ORIZZ_01;225,20;1636,80;29,46
11/09/2026;2;SOFF_ORIZZ_02;446,40;4417,60;79,52
11/09/2026;2;soff_orizz_03;472,30;4743,20;85,38
11/09/2026;2;SOFF_VERT_01;288,26;2095,10;37,71
11/09/2026;2;SOFF_VERT_02;324,99;2556,93;46,02
11/09/2026;3;SOFF_ORIZZ_01;225,20;1636,80;29,46
11/09/2026;3;  SOFF_ORIZZ_02 ;424,70;4144,80;74,61
11/09/2026;3;soff_orizz_03;472,30;4743,20;85,38
11/09/2026;3;SOFF_VERT_01;288,70;2100,74;37,81
11/09/2026;3;  SOFF_VERT_02 ;293,18;2157,06;38,83
2026/09/14;1;SOFF_ORIZZ_01;218,90;1557,60;28,04
14/09/2026;1;  SOFF_ORIZZ_02 ;361,35;3348,40;60,27
14/09/2026;1;soff_orizz_03;421,90;4109,60;73,97
14-09-2026;1;SOFF_VERT_01;304,83;2303,49;41,46
2026/09/14;1;SOFF_VERT_02;304,83;2303,49;41,46
14-09-2026;2;SOFF_ORIZZ_01;238,15;1799,60;32,39
2026/09/14;2;SOFF_ORIZZ_02;238,15;1799,60;32,39
14/09/2026;2;Soff_orizz_03;238,15;1799,60;32,39
14/09/2026;2;soff_vert_01;304,83;2303,49;41,46
14/09/2026;2;SOFF_VERT_02;304,83;2303,49;41,46
14/09/2026;3;SOFF_ORIZZ_01;238,15;1799,60;32,39
14/09/2026;3;SOFF_ORIZZ_02;227,65;1667,60;30,02
14/09/2026;3;SOFF_ORIZZ_03;238,15;1799,60;32,39
14-09-2026;3;  SOFF_VERT_01 ;304,83;2303,49;41,46
14/09/2026;3;SOFF_VERT_02;304,83;2303,49;41,46
15-09-2026;1;  SOFF_ORIZZ_01 ;238,15;1799,60;32,39
15/09/2026;1;SOFF_ORIZZ_02;238,15;1799,60;32,39
15/09/2026;1;SOFF_ORIZZ_03;238,15;1799,60;32,39
15/09/2026;1;SOFF_VERT_01;304,83;2303,49;41,46
15/09/2026;1;SOFF_VERT_02;304,83;2303,49;41,46
15-09-2026;2;SOFF_ORIZZ_01;238,15;1799,60;32,39
15/09/2026;2;SOFF_ORIZZ_02;238,15;1799,60;32,39
15/09/2026;2;SOFF_ORIZZ_03;228,00;1672,00;30,10
15/09/2026;2;SOFF_VERT_01;304,83;2303,49;41,46
15/09/2026;2;  SOFF_VERT_02 ;304,83;2303,49;41,46
2026/09/15;3;SOFF_ORIZZ_01;238,15;1799,60;32,39
2026/09/15;3;Soff_orizz_02;238,15;1799,60;32,39
2026/09/15;3;SOFF_ORIZZ_03;238,15;1799,60;32,39
15/09/2026;3;SOFF_VERT_01;304,83;2303,49;41,46
15-09-2026;3;SOFF_VERT_02;304,83;2303,49;41,46
16/09/2026;1;  SOFF_ORIZZ_01 ;238,15;1799,60;32,39
2026/09/16;1;SOFF_ORIZZ_02;225,20;1636,80;29,46
16/09/2026;1;  SOFF_ORIZZ_03 ;238,15;1799,60;32,39
2026/09/16;1;SOFF_VERT_01;304,83;2303,49;41,46
16/09/2026;1;SOFF_VERT_02;458,94;4240,90;76,34
16/09/2026;2;SOFF_ORIZZ_01;231,85;1720,40;30,97
2026/09/16;2;SOFF_ORIZZ_02;238,15;1799,60;32,39
16/09/2026;2;soff_orizz_03;238,15;1799,60;32,39
16-09-2026;2;  SOFF_VERT_01 ;447,30;4094,46;73,70
16/09/2026;2;SOFF_VERT_02;603,65;6060,03;109,08
16-09-2026;3;  SOFF_ORIZZ_01 ;253,90;1997,60;35,96
16/09/2026;3;  SOFF_ORIZZ_02 ;335,80;3027,20;54,49
16/09/2026;3;SOFF_ORIZZ_03;238,15;1799,60;32,39
16/09/2026;3;SOFF_VERT_01;571,39;5654,53;101,78
16/09/2026;3;SOFF_VERT_02;536,45;5215,23;93,87
17/09/2026;1;SOFF_ORIZZ_01;253,90;1997,60;35,96
2026/09/17;1;SOFF_ORIZZ_02;445,70;4408,80;79,36
17-09-2026;1;SOFF_ORIZZ_03;222,05;1597,20;28,75
17-09-2026;1;  SOFF_VERT_01 ;424,45;3807,23;68,53
2026/09/17;1;Soff_vert_02;570,50;5643,26;101,58
17-09-2026;2;SOFF_ORIZZ_01;253,90;1997,60;35,96
2026/09/17;2;SOFF_ORIZZ_02;305,35;2644,40;47,60
2026/09/17;2;SOFF_ORIZZ_03;384,80;3643,20;65,58
2026/09/17;2;soff_vert_01;324,99;2556,93;46,02
17-09-2026;2;SOFF_VERT_02;376,06;3198,98;57,58
17/09/2026;3;soff_orizz_01;253,90;1997,60;35,96
17/09/2026;3;SOFF_ORIZZ_02;253,90;1997,60;35,96
17-09-2026;3;SOFF_ORIZZ_03;472,30;4743,20;85,38
17/09/2026;3;soff_vert_01;324,99;2556,93;46,02
17/09/2026;3;  SOFF_VERT_02 ;324,99;2556,93;46,02
18/09/2026;1;SOFF_ORIZZ_01;253,90;1997,60;35,96
18/09/2026;1;SOFF_ORIZZ_02;253,90;1997,60;35,96
2026/09/18;1;SOFF_ORIZZ_03;472,30;4743,20;85,38
18/09/2026;1;SOFF_VERT_01;324,99;2556,93;46,02
18/09/2026;1;SOFF_VERT_02;324,99;2556,93;46,02
18-09-2026;2;SOFF_ORIZZ_01;253,90;1997,60;35,96
18/09/2026;2;SOFF_ORIZZ_02;253,90;1997,60;35,96
18/09/2026;2;SOFF_ORIZZ_03;408,25;3938,00;70,88
18/09/2026;2;SOFF_VERT_01;324,99;2556,93;46,02
18/09/2026;2;SOFF_VERT_02;324,99;2556,93;46,02
18/09/2026;3;SOFF_ORIZZ_01;394,95;3770,80;67,87
18/09/2026;3;SOFF_ORIZZ_02;253,90;1997,60;35,96
2026/09/18;3;SOFF_ORIZZ_03;253,90;1997,60;35,96
18/09/2026;3;SOFF_VERT_01;324,99;2556,93;46,02
18/09/2026;3;SOFF_VERT_02;324,99;2556,93;46,02
21-09-2026;1;SOFF_ORIZZ_01;445,70;4408,80;79,36
21/09/2026;1;SOFF_ORIZZ_02;253,90;1997,60;35,96
2026/09/21;1;SOFF_ORIZZ_03;239,90;1821,60;32,79
21/09/2026;1;soff_vert_01;324,99;2556,93;46,02
21/09/2026;1;  SOFF_VERT_02 ;324,99;2556,93;46,02
21/09/2026;2;SOFF_ORIZZ_01;218,90;1557,60;28,04
21/09/2026;2;SOFF_ORIZZ_02;253,90;1997,60;35,96
21/09/2026;2;SOFF_ORIZZ_03;253,90;1997,60;35,96
21/09/2026;2;SOFF_VERT_01;324,99;2556,93;46,02
21/09/2026;2;SOFF_VERT_02;324,99;2556,93;46,02
21-09-2026;3;  SOFF_ORIZZ_01 ;225,20;1636,80;29,46
2026/09/21;3;SOFF_ORIZZ_02;253,90;1997,60;35,96
21-09-2026;3;SOFF_ORIZZ_03;253,90;1997,60;35,96
21-09-2026;3;SOFF_VERT_01;416,38;3705,86;66,71
21/09/2026;3;  SOFF_VERT_02 ;438,34;3981,82;71,67
22/09/2026;1;SOFF_ORIZZ_01;215,40;1513,60;27,24
22/09/2026;1;SOFF_ORIZZ_02;231,15;1711,60;30,81
2026/09/22;1;SOFF_ORIZZ_03;253,90;1997,60;35,96
22/09/2026;1;SOFF_VERT_01;604,54;6071,30;109,28
22/09/2026;1;SOFF_VERT_02;604,54;6071,30;109,28
2026/09/22;2;SOFF_ORIZZ_01;225,20;1636,80;29,46
22/09/2026;2;  SOFF_ORIZZ_02 ;238,15;1799,60;32,39
22-09-2026;2;soff_orizz_03;253,90;1997,60;35,96
22/09/2026;2;SOFF_VERT_01;604,54;6071,30;109,28
22/09/2026;2;SOFF_VERT_02;555,26;5451,78;98,13
22/09/2026;3;SOFF_ORIZZ_01;225,20;1636,80;29,46
2026/09/22;3;SOFF_ORIZZ_02;238,15;1799,60;32,39
22-09-2026;3;SOFF_ORIZZ_03;253,90;1997,60;35,96
22/09/2026;3;SOFF_VERT_01;604,54;6071,30;109,28
22/09/2026;3;SOFF_VERT_02;547,20;5350,40;96,31
2026/09/23;1;SOFF_ORIZZ_01;225,20;1636,80;29,46
23/09/2026;1;SOFF_ORIZZ_02;238,15;1799,60;32,39
23/09/2026;1;SOFF_ORIZZ_03;288,90;2437,60;43,88
23/09/2026;1;SOFF_VERT_01;534,66;5192,70;93,47
2026/09/23;1;soff_vert_02;570,50;5643,26;101,58
23-09-2026;2;SOFF_ORIZZ_01;225,20;1636,80;29,46
23/09/2026;2;  SOFF_ORIZZ_02 ;238,15;1799,60;32,39
23/09/2026;2;SOFF_ORIZZ_03;472,30;4743,20;85,38
2026/09/23;2;SOFF_VERT_01;570,50;5643,26;101,58
23/09/2026;2;SOFF_VERT_02;570,50;5643,26;101,58
23/09/2026;3;SOFF_ORIZZ_01;225,20;1636,80;29,46
23-09-2026;3;SOFF_ORIZZ_02;238,15;1799,60;32,39
23/09/2026;3;SOFF_ORIZZ_03;472,30;4743,20;85,38
23/09/2026;3;SOFF_VERT_01;570,50;5643,26;101,58
2026/09/23;3;SOFF_VERT_02;556,16;5463,04;98,33
24/09/2026;1;SOFF_ORIZZ_01;225,20;1636,80;29,46
24/09/2026;1;SOFF_ORIZZ_02;238,15;1799,60;32,39
24/09/2026;1;SOFF_ORIZZ_03;440,10;4338,40;78,09
24/09/2026;1;SOFF_VERT_01;412,80;3660,80;65,89
24-09-2026;1;  SOFF_VERT_02 ;603,65;6060,03;109,08
24/09/2026;2;SOFF_ORIZZ_01;408,95;3946,80;71,04
24/09/2026;2;soff_orizz_02;238,15;1799,60;32,39
24/09/2026;2;SOFF_ORIZZ_03;446,40;4417,60;79,52
24/09/2026;2;SOFF_VERT_01;304,83;2303,49;41,46
24-09-2026;2;SOFF_VERT_02;548,99;5372,93;96,71
2026/09/24;3;SOFF_ORIZZ_01;445,70;4408,80;79,36
24/09/2026;3;SOFF_ORIZZ_02;376,05;3533,20;63,60
24-09-2026;3;SOFF_ORIZZ_03;417,70;4056,80;73,02
24-09-2026;3;SOFF_VERT_01;304,83;2303,49;41,46
24-09-2026;3;SOFF_VERT_02;556,61;5468,67;98,44
25/09/2026;1;SOFF_ORIZZ_01;393,55;3753,20;67,56
2026/09/25;1;SOFF_ORIZZ_02;445,70;4408,80;79,36
25-09-2026;1;Soff_orizz_03;472,30;4743,20;85,38
25-09-2026;1;  SOFF_VERT_01 ;304,83;2303,49;41,46
25/09/2026;1;SOFF_VERT_02;324,99;2556,93;46,02
2026/09/25;2;soff_orizz_01;238,15;1799,60;32,39
2026/09/25;2;  SOFF_ORIZZ_02 ;445,70;4408,80;79,36
25/09/2026;2;SOFF_ORIZZ_03;472,30;4743,20;85,38
25/09/2026;2;SOFF_VERT_01;304,83;2303,49;41,46
25/09/2026;2;SOFF_VERT_02;324,99;2556,93;46,02
25/09/2026;3;SOFF_ORIZZ_01;238,15;1799,60;32,39
25/09/2026;3;soff_orizz_02;377,45;3550,80;63,91
25-09-2026;3;SOFF_ORIZZ_03;440,80;4347,20;78,25
25/09/2026;3;SOFF_VERT_01;288,70;2100,74;37,81
25/09/2026;3;Soff_vert_02;324,99;2556,93;46,02
2026/09/28;1;  SOFF_ORIZZ_01 ;238,15;1799,60;32,39
28/09/2026;1;SOFF_ORIZZ_02;253,90;1997,60;35,96
28/09/2026;1;SOFF_ORIZZ_03;445,70;4408,80;79,36
28-09-2026;1;SOFF_VERT_01;288,26;2095,10;37,71
28-09-2026;1;SOFF_VERT_02;324,99;2556,93;46,02
2026/09/28;2;SOFF_ORIZZ_01;238,15;1799,60;32,39
28/09/2026;2;SOFF_ORIZZ_02;253,90;1997,60;35,96
28/09/2026;2;SOFF_ORIZZ_03;445,70;4408,80;79,36
2026/09/28;2;SOFF_VERT_01;288,26;2095,10;37,71
28-09-2026;2;soff_vert_02;324,99;2556,93;46,02
28-09-2026;3;SOFF_ORIZZ_01;361,35;3348,40;60,27
28/09/2026;3;SOFF_ORIZZ_02;253,90;1997,60;35,96
2026/09/28;3;  SOFF_ORIZZ_03 ;435,20;4276,80;76,98
28/09/2026;3;SOFF_VERT_01;288,26;2095,10;37,71
28/09/2026;3;SOFF_VERT_02;324,99;2556,93;46,02
29-09-2026;1;Soff_orizz_01;472,30;4743,20;85,38
29-09-2026;1;SOFF_ORIZZ_02;253,90;1997,60;35,96
29/09/2026;1;SOFF_ORIZZ_03;225,20;1636,80;29,46
2026/09/29;1;SOFF_VERT_01;288,26;2095,10;37,71
2026/09/29;1;SOFF_VERT_02;411,90;3649,54;65,69
29/09/2026;2;SOFF_ORIZZ_01;472,30;4743,20;85,38
2026/09/29;2;SOFF_ORIZZ_02;253,90;1997,60;35,96
29/09/2026;2;soff_orizz_03;225,20;1636,80;29,46
29-09-2026;2;SOFF_VERT_01;288,26;2095,10;37,71
29/09/2026;2;SOFF_VERT_02;570,50;5643,26;101,58
29/09/2026;3;soff_orizz_01;297,65;2547,60;45,86
29/09/2026;3;  SOFF_ORIZZ_02 ;251,45;1966,80;35,40
2026/09/29;3;SOFF_ORIZZ_03;225,20;1636,80;29,46
2026/09/29;3;SOFF_VERT_01;288,26;2095,10;37,71
29/09/2026;3;SOFF_VERT_02;570,50;5643,26;101,58
30/09/2026;1;SOFF_ORIZZ_01;253,90;1997,60;35,96
2026/09/30;1;soff_orizz_02;238,15;1799,60;32,39
30/09/2026;1;SOFF_ORIZZ_03;225,20;1636,80;29,46
30/09/2026;1;Soff_vert_01;275,71;1937,41;34,87
30/09/2026;1;SOFF_VERT_02;337,54;2714,62;48,86
30-09-2026;2;SOFF_ORIZZ_01;253,90;1997,60;35,96
30/09/2026;2;soff_orizz_02;238,15;1799,60;32,39
30/09/2026;2;SOFF_ORIZZ_03;225,20;1636,80;29,46
30/09/2026;2;Soff_vert_01;324,99;2556,93;46,02
30/09/2026;2;SOFF_VERT_02;288,26;2095,10;37,71
30/09/2026;3;SOFF_ORIZZ_01;253,90;1997,60;35,96
30/09/2026;3;SOFF_ORIZZ_02;238,15;1799,60;32,39
30/09/2026;3;SOFF_ORIZZ_03;225,20;1636,80;29,46
2026/09/30;3;SOFF_VERT_01;324,99;2556,93;46,02
30/09/2026;3;SOFF_VERT_02;288,26;2095,10;37,71
